ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
150.29.0.0,42061,yes,4,0,4,0,0,2024-06-18 11:05:08.410284,2024-06-18 11:05:15.596134,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 01:10:16.410284,0 days 00:00:07.185850
92.237.0.0,7193,yes,4,0,4,0,0,2024-06-18 11:05:49.740216,2024-06-18 11:05:56.956016,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 01:10:57.740216,0 days 00:00:07.215800
150.29.0.0,23789,yes,8,0,8,0,0,2024-06-18 11:15:28.056956,2024-06-18 11:46:51.598009,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 01:20:36.056956,0 days 00:31:23.541053
240.103.0.0,61543,yes,4,0,4,0,0,2024-06-18 11:23:02.457277,2024-06-18 11:23:09.676179,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 01:28:10.457277,0 days 00:00:07.218902
108.3.0.0,54123,no,4,0,4,0,0,2024-06-18 11:24:25.092486,2024-06-18 11:24:32.316033,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 01:29:33.092486,0 days 00:00:07.223547
128.108.0.0,49376,yes,8,0,8,0,0,2024-06-18 11:29:14.263740,2024-06-18 11:47:36.315999,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 01:34:22.263740,0 days 00:18:22.052259
240.103.0.0,46852,no,4,0,4,0,0,2024-06-18 11:30:36.994719,2024-06-18 11:30:44.156081,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 01:35:44.994719,0 days 00:00:07.161362
92.237.0.0,46852,yes,8,0,8,0,0,2024-06-18 11:33:22.220662,2024-06-18 12:43:47.916130,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 01:38:30.220662,0 days 01:10:25.695468
183.4.0.0,15987,yes,4,0,4,0,0,2024-06-18 11:41:38.062343,2024-06-18 11:41:45.276017,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 01:46:46.062343,0 days 00:00:07.213674
92.237.0.0,27651,yes,4,0,4,0,0,2024-06-18 11:57:48.679644,2024-06-18 11:57:55.916147,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:02:56.679644,0 days 00:00:07.236503
164.77.0.0,49376,no,8,0,8,0,0,2024-06-18 12:02:37.807340,2024-06-18 12:49:18.396209,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:07:45.807340,0 days 00:46:40.588869
211.107.0.0,15987,yes,4,0,4,0,0,2024-06-18 12:03:19.122627,2024-06-18 12:03:26.316036,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:08:27.122627,0 days 00:00:07.193409
62.115.0.0,49376,no,7,0,5,0,2,2024-06-18 12:04:41.741697,2024-06-18 12:35:17.187956,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:09:49.741697,0 days 00:30:35.446259
183.4.0.0,23789,yes,4,0,4,0,0,2024-06-18 12:05:58.362418,2024-06-18 12:06:05.596189,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:11:06.362418,0 days 00:00:07.233771
240.103.0.0,38429,yes,8,0,8,0,0,2024-06-18 12:06:39.669551,2024-06-18 12:49:59.756092,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:11:47.669551,0 days 00:43:20.086541
183.4.0.0,27651,yes,4,0,4,0,0,2024-06-18 12:23:01.185310,2024-06-18 12:23:08.396055,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:28:09.185310,0 days 00:00:07.210745
150.29.0.0,32876,yes,8,0,8,0,0,2024-06-18 12:24:23.844315,2024-06-18 12:47:14.476199,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:29:31.844315,0 days 00:22:50.631884
28.25.0.0,42061,yes,8,0,8,0,0,2024-06-18 12:25:05.143935,2024-06-18 12:35:31.996064,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:30:13.143935,0 days 00:10:26.852129
