ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,duration
154.64.245.126,38732,yes,1,0,1,0,0,2024-06-22 17:44:58.695772,0:00:00
154.64.245.126,58402,yes,1,0,1,0,0,2024-06-22 17:44:58.701106,0:00:00
154.64.245.126,2225,yes,1,0,1,0,0,2024-06-22 17:44:58.704847,0:00:00
154.64.245.126,6640,yes,1,0,1,0,0,2024-06-22 17:44:58.708389,0:00:00
154.64.245.126,62035,yes,1,0,1,0,0,2024-06-22 17:44:58.712533,0:00:00
154.64.245.126,9324,yes,1,0,1,0,0,2024-06-22 17:44:58.715908,0:00:00
154.64.245.126,59295,yes,1,0,1,0,0,2024-06-22 17:44:58.720424,0:00:00
154.64.245.126,41281,yes,1,0,1,0,0,2024-06-22 17:44:58.723796,0:00:00
154.64.245.126,12040,yes,1,0,1,0,0,2024-06-22 17:44:58.727563,0:00:00
154.64.245.126,53091,yes,1,0,1,0,0,2024-06-22 17:44:58.731106,0:00:00
154.64.245.126,33809,yes,1,0,1,0,0,2024-06-22 17:44:58.734060,0:00:00
154.64.245.126,56445,yes,1,0,1,0,0,2024-06-22 17:44:58.737976,0:00:00
154.64.245.126,17970,yes,1,0,1,0,0,2024-06-22 17:44:58.741372,0:00:00
154.64.245.126,29697,yes,1,0,1,0,0,2024-06-22 17:44:58.744606,0:00:00
154.64.245.126,23926,yes,1,0,1,0,0,2024-06-22 17:44:58.748905,0:00:00
154.64.245.126,13794,yes,1,0,1,0,0,2024-06-22 17:44:58.752531,0:00:00
154.64.245.126,40913,yes,1,0,1,0,0,2024-06-22 17:44:58.756154,0:00:00
154.64.245.126,24377,yes,1,0,1,0,0,2024-06-22 17:44:58.759979,0:00:00
154.64.245.126,47494,yes,1,0,1,0,0,2024-06-22 17:44:58.763854,0:00:00
154.64.245.126,20774,yes,1,0,1,0,0,2024-06-22 17:44:58.767803,0:00:00
154.64.245.126,54400,yes,1,0,1,0,0,2024-06-22 17:44:58.771652,0:00:00
154.64.245.126,49662,yes,1,0,1,0,0,2024-06-22 17:44:58.774788,0:00:00
154.64.245.126,14101,yes,1,0,1,0,0,2024-06-22 17:44:58.777914,0:00:00
154.64.245.126,2620,yes,1,0,1,0,0,2024-06-22 17:44:58.781342,0:00:00
154.64.245.126,7300,yes,1,0,1,0,0,2024-06-22 17:44:58.785767,0:00:00
154.64.245.126,37832,yes,1,0,1,0,0,2024-06-22 17:44:58.790066,0:00:00
154.64.245.126,28945,yes,1,0,1,0,0,2024-06-22 17:44:58.793110,0:00:00
154.64.245.126,45501,yes,1,0,1,0,0,2024-06-22 17:44:58.796321,0:00:00
154.64.245.126,24338,yes,1,0,1,0,0,2024-06-22 17:44:58.800714,0:00:00
154.64.245.126,36111,yes,1,0,1,0,0,2024-06-22 17:44:58.804438,0:00:00
154.64.245.126,31197,yes,1,0,1,0,0,2024-06-22 17:44:58.807853,0:00:00
154.64.245.126,10470,yes,1,0,1,0,0,2024-06-22 17:44:58.810926,0:00:00
154.64.245.126,30161,yes,1,0,1,0,0,2024-06-22 17:44:58.814907,0:00:00
154.64.245.126,44050,yes,1,0,1,0,0,2024-06-22 17:44:58.818693,0:00:00
154.64.245.126,37079,yes,1,0,1,0,0,2024-06-22 17:44:58.823273,0:00:00
154.64.245.126,61724,yes,1,0,1,0,0,2024-06-22 17:44:58.827616,0:00:00
154.64.245.126,38727,yes,2,0,2,0,0,2024-06-22 17:44:58.831159,0:00:24.934463
154.64.245.126,19456,yes,1,0,1,0,0,2024-06-22 17:44:58.834225,0:00:00
